GradeID,EnrollmentID,FinalGrade,LetterGrade,PassFail
181,181,82.3,B,Pass
182,182,84.4,B,Pass
183,183,79.4,C,Pass
184,184,87.4,B,Pass
185,185,82.3,B,Pass
186,186,69.0,D,Pass
187,187,73.3,C,Pass
188,188,89.2,B,Pass
189,189,75.7,C,Pass
190,190,76.6,C,Pass
191,191,81.3,B,Pass
192,192,80.4,B,Pass
193,193,78.6,C,Pass
194,194,78.7,C,Pass
195,195,71.9,C,Pass
196,196,93.5,A,Pass
197,197,73.6,C,Pass
198,198,72.9,C,Pass
199,199,67.8,D,Pass
200,200,83.7,B,Pass
201,201,88.5,B,Pass
202,202,69.8,D,Pass
203,203,84.1,B,Pass
204,204,72.2,C,Pass
205,205,76.0,C,Pass
206,206,68.0,D,Pass
207,207,86.6,B,Pass
208,208,78.5,C,Pass
209,209,88.3,B,Pass
210,210,69.5,D,Pass
211,211,83.0,B,Pass
212,212,57.7,F,Fail
213,213,76.7,C,Pass
214,214,82.0,B,Pass
215,215,67.7,D,Pass
216,216,75.1,C,Pass
217,217,93.1,A,Pass
218,218,83.4,B,Pass
219,219,76.3,C,Pass
220,220,95.4,A,Pass
221,221,88.8,B,Pass
222,222,67.6,D,Pass
223,223,85.9,B,Pass
224,224,99.4,A,Pass
225,225,83.6,B,Pass
226,226,68.9,D,Pass
227,227,91.8,A,Pass
228,228,76.2,C,Pass
229,229,94.6,A,Pass
230,230,91.2,A,Pass
231,231,82.8,B,Pass
232,232,92.3,A,Pass
233,233,77.8,C,Pass
234,234,72.1,C,Pass
235,235,50.1,F,Fail
236,236,83.0,B,Pass
237,237,77.3,C,Pass
238,238,87.4,B,Pass
239,239,65.3,D,Pass
240,240,73.7,C,Pass
241,241,84.9,B,Pass
242,242,81.7,B,Pass
243,243,86.5,B,Pass
244,244,80.4,B,Pass
245,245,91.5,A,Pass
246,246,90.4,A,Pass
247,247,100.0,A,Pass
248,248,92.4,A,Pass
249,249,79.4,C,Pass
250,250,100.0,A,Pass
251,251,63.3,D,Pass
252,252,64.2,D,Pass
253,253,74.6,C,Pass
254,254,86.1,B,Pass
255,255,89.6,B,Pass
256,256,99.9,A,Pass
257,257,70.4,C,Pass
258,258,77.7,C,Pass
259,259,79.4,C,Pass
260,260,87.2,B,Pass
261,261,51.8,F,Fail
262,262,88.5,B,Pass
263,263,75.8,C,Pass
264,264,77.6,C,Pass
265,265,86.8,B,Pass
266,266,91.9,A,Pass
267,267,78.6,C,Pass
268,268,76.5,C,Pass
269,269,74.4,C,Pass
270,270,65.5,D,Pass
271,271,71.3,C,Pass
272,272,86.0,B,Pass
273,273,56.6,F,Fail
274,274,76.7,C,Pass
275,275,91.7,A,Pass
276,276,72.7,C,Pass
277,277,73.0,C,Pass
278,278,68.5,D,Pass
279,279,71.4,C,Pass
280,280,92.6,A,Pass
281,281,75.6,C,Pass
282,282,77.9,C,Pass
283,283,84.0,B,Pass
284,284,88.2,B,Pass
285,285,95.6,A,Pass
286,286,80.4,B,Pass
287,287,60.0,D,Pass
288,288,74.4,C,Pass
289,289,100.0,A,Pass
290,290,71.8,C,Pass
291,291,77.1,C,Pass
292,292,71.3,C,Pass
293,293,84.9,B,Pass
294,294,67.8,D,Pass
295,295,95.2,A,Pass
296,296,83.3,B,Pass
297,297,77.8,C,Pass
298,298,79.7,C,Pass
299,299,80.4,B,Pass
300,300,69.6,D,Pass
301,301,90.3,A,Pass
302,302,95.0,A,Pass
303,303,86.7,B,Pass
304,304,72.1,C,Pass
305,305,88.8,B,Pass
306,306,86.6,B,Pass
307,307,74.7,C,Pass
308,308,96.3,A,Pass
309,309,77.7,C,Pass
310,310,78.3,C,Pass
311,311,82.9,B,Pass
312,312,94.7,A,Pass
313,313,73.6,C,Pass
314,314,88.8,B,Pass
315,315,93.1,A,Pass
316,316,100.0,A,Pass
317,317,88.7,B,Pass
318,318,82.9,B,Pass
319,319,67.8,D,Pass
320,320,75.2,C,Pass
321,321,78.8,C,Pass
322,322,91.9,A,Pass
323,323,67.6,D,Pass
324,324,82.7,B,Pass
325,325,74.9,C,Pass
326,326,85.1,B,Pass
327,327,74.2,C,Pass
328,328,71.3,C,Pass
329,329,86.4,B,Pass
330,330,100.0,A,Pass
331,331,85.5,B,Pass
332,332,63.0,D,Pass
333,333,67.2,D,Pass
334,334,80.5,B,Pass
335,335,85.6,B,Pass
336,336,85.6,B,Pass
337,337,96.3,A,Pass
338,338,87.9,B,Pass
339,339,62.0,D,Pass
340,340,74.7,C,Pass
341,341,86.8,B,Pass
342,342,69.8,D,Pass
343,343,81.6,B,Pass
344,344,86.7,B,Pass
345,345,61.1,D,Pass
346,346,87.8,B,Pass
347,347,83.3,B,Pass
348,348,91.4,A,Pass
349,349,71.2,C,Pass
350,350,80.4,B,Pass
351,351,100.0,A,Pass
352,352,76.9,C,Pass
353,353,86.0,B,Pass
354,354,92.7,A,Pass
355,355,100.0,A,Pass
356,356,89.7,B,Pass
357,357,65.5,D,Pass
358,358,72.9,C,Pass
359,359,83.7,B,Pass
360,360,83.8,B,Pass
361,361,87.6,B,Pass
362,362,87.6,B,Pass
363,363,69.9,D,Pass
364,364,82.2,B,Pass
365,365,86.1,B,Pass
366,366,68.0,D,Pass
367,367,66.3,D,Pass
368,368,84.5,B,Pass
369,369,94.7,A,Pass
370,370,91.6,A,Pass
371,371,96.6,A,Pass
372,372,59.3,F,Fail
373,373,93.9,A,Pass
374,374,69.3,D,Pass
375,375,72.6,C,Pass
376,376,70.2,C,Pass
377,377,79.0,C,Pass
378,378,63.2,D,Pass
379,379,97.1,A,Pass
380,380,79.8,C,Pass
381,381,87.6,B,Pass
382,382,74.5,C,Pass
383,383,97.0,A,Pass
384,384,88.0,B,Pass
385,385,100.0,A,Pass
386,386,57.0,F,Fail
387,387,73.5,C,Pass
388,388,60.8,D,Pass
389,389,77.2,C,Pass
390,390,71.4,C,Pass
391,391,67.2,D,Pass
392,392,100.0,A,Pass
393,393,100.0,A,Pass
394,394,90.6,A,Pass
395,395,97.0,A,Pass
396,396,69.6,D,Pass
397,397,75.6,C,Pass
398,398,79.1,C,Pass
399,399,88.7,B,Pass
400,400,73.3,C,Pass
401,401,86.5,B,Pass
402,402,82.1,B,Pass
403,403,85.1,B,Pass
404,404,67.8,D,Pass
405,405,59.1,F,Fail
406,406,59.8,F,Fail
407,407,68.7,D,Pass
408,408,74.6,C,Pass
409,409,88.2,B,Pass
410,410,87.4,B,Pass
411,411,100.0,A,Pass
412,412,54.8,F,Fail
413,413,86.4,B,Pass
414,414,74.5,C,Pass
415,415,69.5,D,Pass
416,416,84.2,B,Pass
417,417,73.7,C,Pass
418,418,100.0,A,Pass
419,419,99.0,A,Pass
420,420,81.8,B,Pass
421,421,82.1,B,Pass
422,422,71.8,C,Pass
423,423,91.2,A,Pass
424,424,81.5,B,Pass
425,425,78.4,C,Pass
426,426,85.1,B,Pass
427,427,93.3,A,Pass
428,428,72.0,C,Pass
429,429,70.3,C,Pass
430,430,82.3,B,Pass
431,431,100.0,A,Pass
432,432,78.3,C,Pass
433,433,64.1,D,Pass
434,434,80.7,B,Pass
435,435,68.9,D,Pass
436,436,70.8,C,Pass
437,437,57.4,F,Fail
438,438,99.1,A,Pass
439,439,60.9,D,Pass
440,440,93.3,A,Pass
441,441,84.5,B,Pass
442,442,89.6,B,Pass
443,443,88.6,B,Pass
444,444,94.8,A,Pass
445,445,69.7,D,Pass
446,446,89.4,B,Pass
447,447,81.4,B,Pass
448,448,75.2,C,Pass
449,449,84.0,B,Pass
450,450,69.1,D,Pass
451,451,91.9,A,Pass
452,452,63.8,D,Pass
453,453,93.4,A,Pass
454,454,72.0,C,Pass
455,455,90.7,A,Pass
456,456,63.5,D,Pass
457,457,86.5,B,Pass
458,458,52.6,F,Fail
459,459,86.5,B,Pass
460,460,84.0,B,Pass
461,461,91.4,A,Pass
462,462,69.6,D,Pass
463,463,72.4,C,Pass
464,464,66.5,D,Pass
465,465,83.4,B,Pass
466,466,69.1,D,Pass
467,467,88.5,B,Pass
468,468,74.0,C,Pass
469,469,86.7,B,Pass
470,470,73.9,C,Pass
471,471,74.1,C,Pass
472,472,82.5,B,Pass
473,473,86.4,B,Pass
474,474,75.0,C,Pass
475,475,94.0,A,Pass
476,476,73.9,C,Pass
477,477,74.1,C,Pass
478,478,79.7,C,Pass
479,479,100.0,A,Pass
480,480,47.6,F,Fail
481,481,95.5,A,Pass
482,482,79.6,C,Pass
483,483,92.9,A,Pass
484,484,82.8,B,Pass
485,485,95.1,A,Pass
486,486,65.4,D,Pass
487,487,86.2,B,Pass
488,488,78.1,C,Pass
489,489,82.1,B,Pass
490,490,71.7,C,Pass
491,491,74.6,C,Pass
492,492,73.4,C,Pass
493,493,81.9,B,Pass
494,494,70.5,C,Pass
495,495,82.4,B,Pass
496,496,70.2,C,Pass
497,497,70.5,C,Pass
498,498,81.9,B,Pass
499,499,87.6,B,Pass
500,500,53.0,F,Fail
501,501,89.4,B,Pass
502,502,75.7,C,Pass
503,503,82.2,B,Pass
504,504,63.3,D,Pass
505,505,86.5,B,Pass
506,506,79.2,C,Pass
507,507,93.6,A,Pass
508,508,58.9,F,Fail
509,509,80.4,B,Pass
510,510,100.0,A,Pass
511,511,74.0,C,Pass
512,512,73.7,C,Pass
513,513,84.8,B,Pass
514,514,73.8,C,Pass
515,515,65.3,D,Pass
516,516,77.5,C,Pass
517,517,75.0,C,Pass
518,518,81.5,B,Pass
519,519,85.7,B,Pass
520,520,86.9,B,Pass
521,521,79.5,C,Pass
522,522,96.6,A,Pass
523,523,76.3,C,Pass
524,524,88.7,B,Pass
525,525,69.3,D,Pass
526,526,98.2,A,Pass
527,527,73.2,C,Pass
528,528,71.6,C,Pass
529,529,74.4,C,Pass
530,530,71.7,C,Pass
531,531,88.5,B,Pass
532,532,96.2,A,Pass
533,533,87.5,B,Pass
534,534,93.1,A,Pass
535,535,92.9,A,Pass
536,536,85.0,B,Pass
537,537,87.4,B,Pass
538,538,79.4,C,Pass
539,539,79.1,C,Pass
540,540,56.9,F,Fail
541,541,79.0,C,Pass
542,542,59.0,F,Fail
543,543,68.3,D,Pass
544,544,77.9,C,Pass
545,545,74.5,C,Pass
546,546,62.6,D,Pass
547,547,86.5,B,Pass
548,548,69.6,D,Pass
549,549,67.1,D,Pass
550,550,62.8,D,Pass
551,551,96.1,A,Pass
552,552,100.0,A,Pass
553,553,70.0,C,Pass
554,554,87.2,B,Pass
555,555,76.5,C,Pass
556,556,93.8,A,Pass
557,557,87.5,B,Pass
558,558,73.9,C,Pass
559,559,72.0,C,Pass
560,560,82.1,B,Pass
561,561,60.2,D,Pass
562,562,75.3,C,Pass
563,563,77.5,C,Pass
564,564,72.4,C,Pass
565,565,95.2,A,Pass
566,566,88.9,B,Pass
567,567,100.0,A,Pass
568,568,69.1,D,Pass
569,569,82.2,B,Pass
570,570,78.7,C,Pass
571,571,81.7,B,Pass
572,572,83.9,B,Pass
573,573,100.0,A,Pass
574,574,98.4,A,Pass
575,575,87.6,B,Pass
576,576,99.5,A,Pass
577,577,86.7,B,Pass
578,578,94.3,A,Pass
579,579,67.9,D,Pass
580,580,77.3,C,Pass
581,581,85.4,B,Pass
582,582,86.9,B,Pass
583,583,72.7,C,Pass
584,584,94.0,A,Pass
585,585,90.7,A,Pass
586,586,97.4,A,Pass
587,587,74.1,C,Pass
588,588,69.9,D,Pass
589,589,64.9,D,Pass
590,590,88.1,B,Pass
591,591,83.3,B,Pass
592,592,78.5,C,Pass
593,593,82.6,B,Pass
594,594,70.3,C,Pass
595,595,100.0,A,Pass
596,596,69.1,D,Pass
597,597,68.9,D,Pass
598,598,71.2,C,Pass
599,599,76.9,C,Pass
600,600,83.5,B,Pass
601,601,91.9,A,Pass
602,602,96.4,A,Pass
603,603,64.9,D,Pass
604,604,78.6,C,Pass
605,605,86.2,B,Pass
606,606,100.0,A,Pass
607,607,98.3,A,Pass
608,608,58.7,F,Fail
609,609,81.2,B,Pass
610,610,68.8,D,Pass
611,611,79.3,C,Pass
612,612,85.6,B,Pass
613,613,83.2,B,Pass
614,614,83.4,B,Pass
615,615,100.0,A,Pass
616,616,83.7,B,Pass
617,617,84.8,B,Pass
618,618,92.5,A,Pass
619,619,81.5,B,Pass
620,620,81.8,B,Pass
621,621,62.8,D,Pass
622,622,68.8,D,Pass
623,623,89.8,B,Pass
624,624,83.6,B,Pass
625,625,67.5,D,Pass
626,626,80.6,B,Pass
627,627,78.8,C,Pass
628,628,89.3,B,Pass
629,629,72.4,C,Pass
630,630,97.4,A,Pass
631,631,95.3,A,Pass
632,632,88.4,B,Pass
633,633,63.2,D,Pass
634,634,79.9,C,Pass
635,635,91.2,A,Pass
636,636,83.5,B,Pass
637,637,85.3,B,Pass
638,638,73.0,C,Pass
639,639,84.9,B,Pass
640,640,77.8,C,Pass
641,641,82.1,B,Pass
642,642,87.3,B,Pass
643,643,77.6,C,Pass
644,644,70.1,C,Pass
645,645,88.8,B,Pass
646,646,86.2,B,Pass
647,647,84.5,B,Pass
648,648,71.0,C,Pass
649,649,82.5,B,Pass
650,650,77.3,C,Pass
651,651,83.1,B,Pass
652,652,78.2,C,Pass
653,653,69.6,D,Pass
654,654,76.4,C,Pass
655,655,80.9,B,Pass
656,656,82.4,B,Pass
657,657,89.6,B,Pass
658,658,89.6,B,Pass
659,659,69.9,D,Pass
660,660,93.9,A,Pass
661,661,65.7,D,Pass
662,662,65.1,D,Pass
663,663,70.4,C,Pass
664,664,76.2,C,Pass
665,665,77.6,C,Pass
666,666,86.5,B,Pass
667,667,81.9,B,Pass
668,668,87.9,B,Pass
669,669,90.1,A,Pass
670,670,60.2,D,Pass
671,671,71.3,C,Pass
672,672,86.0,B,Pass
673,673,91.6,A,Pass
674,674,73.3,C,Pass
675,675,100.0,A,Pass
676,676,99.9,A,Pass
677,677,83.9,B,Pass
678,678,89.2,B,Pass
679,679,66.8,D,Pass
680,680,79.6,C,Pass
681,681,68.4,D,Pass
682,682,100.0,A,Pass
683,683,78.5,C,Pass
684,684,73.0,C,Pass
685,685,85.9,B,Pass
686,686,83.9,B,Pass
687,687,78.0,C,Pass
688,688,81.2,B,Pass
689,689,79.5,C,Pass
690,690,79.2,C,Pass
691,691,76.3,C,Pass
692,692,75.7,C,Pass
693,693,63.5,D,Pass
694,694,64.6,D,Pass
695,695,71.3,C,Pass
696,696,90.3,A,Pass
697,697,84.9,B,Pass
698,698,80.8,B,Pass
699,699,85.3,B,Pass
700,700,81.6,B,Pass
701,701,83.7,B,Pass
702,702,92.8,A,Pass
703,703,82.8,B,Pass
704,704,77.7,C,Pass
705,705,76.2,C,Pass
706,706,91.7,A,Pass
707,707,65.5,D,Pass
708,708,73.9,C,Pass
709,709,64.6,D,Pass
710,710,83.0,B,Pass
711,711,74.6,C,Pass
712,712,83.9,B,Pass
713,713,73.2,C,Pass
714,714,69.8,D,Pass
715,715,90.6,A,Pass
716,716,85.1,B,Pass
717,717,88.8,B,Pass
718,718,78.9,C,Pass
719,719,67.7,D,Pass
720,720,91.5,A,Pass
721,721,100.0,A,Pass
722,722,68.8,D,Pass
723,723,86.4,B,Pass
724,724,67.3,D,Pass
725,725,79.8,C,Pass
726,726,55.4,F,Fail
727,727,75.3,C,Pass
728,728,85.0,B,Pass
729,729,78.0,C,Pass
730,730,85.1,B,Pass
731,731,87.6,B,Pass
732,732,98.0,A,Pass
733,733,90.6,A,Pass
734,734,68.5,D,Pass
735,735,98.3,A,Pass
736,736,81.2,B,Pass
737,737,69.9,D,Pass
738,738,78.7,C,Pass
739,739,91.4,A,Pass
740,740,83.6,B,Pass
741,741,84.2,B,Pass
742,742,79.3,C,Pass
743,743,76.9,C,Pass
744,744,94.7,A,Pass
745,745,64.5,D,Pass
746,746,93.9,A,Pass
747,747,73.2,C,Pass
748,748,81.7,B,Pass
749,749,80.0,B,Pass
750,750,70.9,C,Pass
751,751,70.4,C,Pass
752,752,81.6,B,Pass
753,753,80.1,B,Pass
754,754,86.2,B,Pass
755,755,76.1,C,Pass
756,756,84.8,B,Pass
757,757,92.0,A,Pass
758,758,78.8,C,Pass
759,759,70.0,C,Pass
760,760,66.4,D,Pass
761,761,74.2,C,Pass
762,762,80.5,B,Pass
763,763,71.4,C,Pass
764,764,90.4,A,Pass
765,765,75.9,C,Pass
766,766,70.9,C,Pass
767,767,82.0,B,Pass
768,768,65.4,D,Pass
769,769,100.0,A,Pass
770,770,78.3,C,Pass
771,771,80.6,B,Pass
772,772,67.6,D,Pass
773,773,70.9,C,Pass
774,774,79.0,C,Pass
775,775,93.3,A,Pass
776,776,72.0,C,Pass
777,777,80.7,B,Pass
778,778,81.4,B,Pass
779,779,77.5,C,Pass
780,780,96.9,A,Pass
781,781,87.5,B,Pass
782,782,95.4,A,Pass
783,783,74.1,C,Pass
784,784,87.1,B,Pass
785,785,93.0,A,Pass
786,786,81.6,B,Pass
787,787,77.3,C,Pass
788,788,86.4,B,Pass
789,789,92.4,A,Pass
790,790,94.9,A,Pass
791,791,78.0,C,Pass
792,792,66.3,D,Pass
793,793,83.5,B,Pass
794,794,91.6,A,Pass
795,795,53.9,F,Fail
796,796,93.2,A,Pass
797,797,62.6,D,Pass
798,798,83.1,B,Pass
799,799,76.4,C,Pass
800,800,60.0,D,Pass
801,801,87.1,B,Pass
802,802,74.1,C,Pass
803,803,99.9,A,Pass
804,804,87.9,B,Pass
805,805,86.2,B,Pass
806,806,71.4,C,Pass
807,807,79.0,C,Pass
808,808,97.0,A,Pass
809,809,84.3,B,Pass
810,810,52.0,F,Fail
811,811,89.8,B,Pass
812,812,81.3,B,Pass
813,813,74.5,C,Pass
814,814,83.5,B,Pass
815,815,80.5,B,Pass
816,816,81.4,B,Pass
817,817,92.7,A,Pass
818,818,79.4,C,Pass
819,819,62.4,D,Pass
820,820,72.7,C,Pass
821,821,60.8,D,Pass
822,822,97.9,A,Pass
823,823,57.1,F,Fail
824,824,75.6,C,Pass
825,825,63.8,D,Pass
826,826,86.1,B,Pass
827,827,78.1,C,Pass
828,828,77.5,C,Pass
829,829,64.4,D,Pass
830,830,96.0,A,Pass
831,831,64.3,D,Pass
832,832,70.5,C,Pass
833,833,78.0,C,Pass
834,834,70.4,C,Pass
835,835,100.0,A,Pass
836,836,56.3,F,Fail
837,837,88.0,B,Pass
838,838,77.9,C,Pass
839,839,74.2,C,Pass
840,840,81.5,B,Pass
841,841,80.6,B,Pass
842,842,85.6,B,Pass
843,843,96.2,A,Pass
844,844,82.2,B,Pass
845,845,76.5,C,Pass
846,846,89.0,B,Pass
847,847,67.0,D,Pass
848,848,86.2,B,Pass
849,849,87.8,B,Pass
850,850,84.6,B,Pass
851,851,79.3,C,Pass
852,852,79.2,C,Pass
853,853,74.8,C,Pass
854,854,73.1,C,Pass
855,855,84.9,B,Pass
856,856,85.1,B,Pass
857,857,60.7,D,Pass
858,858,67.3,D,Pass
859,859,59.4,F,Fail
860,860,95.6,A,Pass
861,861,73.4,C,Pass
862,862,87.3,B,Pass
863,863,77.2,C,Pass
864,864,88.1,B,Pass
865,865,60.6,D,Pass
866,866,70.6,C,Pass
867,867,56.4,F,Fail
868,868,71.6,C,Pass
869,869,79.6,C,Pass
870,870,85.8,B,Pass
871,871,80.8,B,Pass
872,872,78.0,C,Pass
873,873,85.0,B,Pass
874,874,79.5,C,Pass
875,875,100.0,A,Pass
876,876,82.9,B,Pass
877,877,89.0,B,Pass
878,878,88.3,B,Pass
879,879,80.5,B,Pass
880,880,80.4,B,Pass
881,881,63.2,D,Pass
882,882,83.9,B,Pass
883,883,73.4,C,Pass
884,884,68.8,D,Pass
885,885,74.9,C,Pass
886,886,78.4,C,Pass
887,887,66.9,D,Pass
888,888,88.0,B,Pass
889,889,96.5,A,Pass
890,890,80.8,B,Pass
891,891,82.6,B,Pass
892,892,75.9,C,Pass
893,893,94.8,A,Pass
894,894,100.0,A,Pass
895,895,86.9,B,Pass
896,896,94.3,A,Pass
897,897,78.4,C,Pass
898,898,75.4,C,Pass
899,899,79.7,C,Pass
900,900,97.4,A,Pass
901,901,79.0,C,Pass
902,902,67.0,D,Pass
903,903,87.4,B,Pass
904,904,72.6,C,Pass
905,905,85.5,B,Pass
906,906,65.4,D,Pass
907,907,90.7,A,Pass
908,908,80.1,B,Pass
909,909,70.3,C,Pass
910,910,77.5,C,Pass
911,911,83.1,B,Pass
912,912,79.3,C,Pass
913,913,84.6,B,Pass
914,914,87.4,B,Pass
915,915,73.3,C,Pass
916,916,81.9,B,Pass
917,917,70.7,C,Pass
918,918,72.8,C,Pass
919,919,87.1,B,Pass
920,920,74.3,C,Pass
921,921,78.9,C,Pass
922,922,83.1,B,Pass
923,923,89.1,B,Pass
924,924,88.0,B,Pass
925,925,86.1,B,Pass
926,926,83.4,B,Pass
927,927,91.0,A,Pass
928,928,76.6,C,Pass
929,929,86.2,B,Pass
930,930,100.0,A,Pass
931,931,78.6,C,Pass
932,932,85.7,B,Pass
933,933,80.7,B,Pass
934,934,79.8,C,Pass
935,935,100.0,A,Pass
936,936,80.0,B,Pass
937,937,91.7,A,Pass
938,938,91.4,A,Pass
939,939,81.5,B,Pass
940,940,60.0,D,Pass
941,941,69.9,D,Pass
942,942,92.2,A,Pass
943,943,78.5,C,Pass
944,944,85.6,B,Pass
945,945,75.8,C,Pass
946,946,74.9,C,Pass
947,947,84.3,B,Pass
948,948,79.7,C,Pass
949,949,82.0,B,Pass
950,950,67.6,D,Pass
951,951,72.3,C,Pass
952,952,64.5,D,Pass
953,953,80.1,B,Pass
954,954,89.9,B,Pass
955,955,90.8,A,Pass
956,956,84.3,B,Pass
957,957,100.0,A,Pass
958,958,94.8,A,Pass
959,959,92.8,A,Pass
960,960,85.4,B,Pass
961,961,88.0,B,Pass
962,962,97.0,A,Pass
963,963,73.7,C,Pass
964,964,86.9,B,Pass
965,965,59.9,F,Fail
966,966,73.5,C,Pass
967,967,89.6,B,Pass
968,968,92.0,A,Pass
969,969,92.7,A,Pass
970,970,100.0,A,Pass
971,971,62.1,D,Pass
972,972,76.7,C,Pass
973,973,80.8,B,Pass
974,974,82.8,B,Pass
975,975,74.7,C,Pass
976,976,75.1,C,Pass
977,977,85.5,B,Pass
978,978,66.7,D,Pass
979,979,80.6,B,Pass
980,980,81.6,B,Pass
981,981,76.2,C,Pass
982,982,74.7,C,Pass
983,983,83.7,B,Pass
984,984,73.1,C,Pass
985,985,80.5,B,Pass
986,986,73.4,C,Pass
987,987,89.9,B,Pass
988,988,98.0,A,Pass
989,989,69.3,D,Pass
990,990,62.7,D,Pass
991,991,63.8,D,Pass
992,992,96.5,A,Pass
993,993,71.0,C,Pass
994,994,72.5,C,Pass
995,995,97.2,A,Pass
