EnrollmentID,StudentID,SectionID,StudyHours,Absences
439,13200,55,5.6,3
440,12595,270,13.0,1
441,13938,2,12.4,3
442,11680,256,7.4,3
443,11316,2,11.4,2
444,14827,61,13.5,2
445,10568,363,8.3,6
446,12705,107,13.7,3
447,12452,134,10.5,4
448,11749,409,7.9,4
449,14692,451,12.5,5
450,10648,23,7.8,3
451,12194,73,14.2,4
452,12809,351,6.5,3
453,10125,28,13.9,1
454,11538,25,10.7,2
455,14576,355,12.1,2
456,14808,65,8.8,5
457,11971,194,11.2,5
458,12763,207,2.4,4
459,11818,299,10.7,3
460,10815,40,6.1,2
461,13102,464,12.2,6
462,14152,23,8.4,6
463,11655,177,8.4,5
464,10132,483,6.5,3
465,10231,264,10.6,2
466,10395,128,7.5,2
467,13574,263,9.8,1
468,10982,277,9.0,2
469,10933,35,6.9,0
470,11410,487,8.8,3
471,12956,101,8.2,2
472,14629,225,12.9,3
473,14651,229,13.4,1
474,12742,99,6.0,3
475,12939,82,10.6,3
476,13421,317,9.2,5
477,12505,467,7.4,2
478,13034,330,10.4,3
479,13980,196,11.4,3
480,13824,414,2.0,3
481,14481,365,13.0,1
482,10712,481,12.1,3
483,12977,68,9.9,2
484,11472,393,7.4,3
485,13700,273,11.5,2
486,13187,299,8.0,8
487,14750,359,13.8,4
488,11143,344,12.7,3
489,13982,441,10.1,4
490,12569,359,7.6,2
491,11609,141,11.5,2
492,14634,185,12.4,4
493,13823,154,9.0,2
494,11898,189,11.2,1
495,12193,62,8.6,3
496,14073,19,4.8,1
497,11092,81,5.0,2
498,10700,498,10.5,2
499,14093,30,14.6,1
500,11902,127,7.1,6
501,12179,218,7.6,1
502,10733,13,10.9,2
503,10513,177,10.1,3
504,12688,338,10.9,4
505,14097,121,11.6,2
506,13757,469,9.9,2
507,10432,372,10.4,3
508,14495,482,6.6,6
509,10808,179,8.7,4
510,11280,111,13.8,2
511,12222,9,11.4,3
512,10855,222,10.8,1
513,13213,285,7.4,4
514,12587,349,7.6,3
515,14841,110,6.8,6
516,12769,467,4.5,2
517,14339,136,9.2,7
518,13341,108,8.8,4
519,13229,337,10.6,3
520,11620,204,13.1,1
521,10276,15,8.1,5
522,14104,453,13.7,1
523,13864,162,11.5,6
524,10715,436,14.3,2
525,12081,434,6.6,3
526,10810,195,13.5,2
527,13727,261,8.0,4
528,13979,354,7.6,5
529,10862,9,9.8,4
530,10037,216,7.5,3
531,13812,261,11.3,2
532,12082,411,12.5,3
533,10455,113,11.5,4
534,14540,117,9.8,1
535,13309,340,13.5,7
536,14308,47,11.3,1
537,13212,318,9.6,2
538,12656,301,9.6,2
539,10982,489,7.3,3
540,14392,322,7.1,1
541,10152,279,8.6,2
542,13295,98,6.8,5
543,10600,445,6.5,5
544,11323,93,7.2,5
545,11512,299,13.2,3
546,12259,252,7.6,3
547,10232,163,12.5,6
548,12743,158,8.1,3
549,14463,67,10.6,5
550,14577,138,7.6,1
551,10572,384,10.6,0
552,11203,312,16.8,1
553,11508,290,7.9,3
554,11613,65,9.1,3
555,13567,262,6.4,2
556,14041,198,13.3,1
557,11571,171,13.8,4
558,11040,16,7.2,3
559,11426,191,9.5,1
560,14082,449,11.3,3
561,10171,389,10.2,4
562,10189,25,7.2,2
563,14882,250,7.1,0
564,14679,27,6.3,1
565,10600,170,13.1,3
566,14942,117,12.0,3
567,14018,380,15.0,0
568,13333,55,7.0,4
569,13577,486,10.9,2
570,12390,363,10.4,3
571,10954,26,11.1,4
572,11626,272,11.8,2
573,11871,500,19.6,4
574,14262,365,19.5,3
575,12025,108,11.1,1
576,14330,498,14.8,1
577,10641,90,7.4,4
578,11828,493,9.7,2
579,14703,357,7.6,4
580,10540,412,10.8,4
581,12366,476,11.6,1
582,14439,414,16.9,5
583,13502,382,7.2,1
584,13948,122,14.0,1
585,13027,461,8.8,1
586,14733,345,8.3,2
587,13538,429,9.3,2
588,14175,243,15.9,4
589,12497,403,4.1,2
590,14287,269,11.4,1
591,14740,252,13.4,3
592,12090,75,7.1,1
593,13322,112,11.6,0
594,13582,151,7.8,4
595,12550,270,15.9,1
596,11217,458,6.1,4
597,14886,98,11.7,6
598,13979,360,8.7,5
599,10742,255,9.6,1
600,14186,407,9.1,4
601,11715,168,13.3,5
602,14045,250,10.6,2
603,10648,320,5.8,4
604,12798,246,11.1,6
605,10819,213,10.8,2
606,10243,443,13.2,1
607,14315,276,11.0,1
608,14105,416,5.5,6
609,14526,334,13.6,3
610,13878,280,13.5,2
611,10013,46,11.6,6
612,13018,18,10.9,3
613,10690,367,11.2,0
614,13139,246,13.5,2
615,13741,350,14.1,2
616,10677,220,11.6,1
617,13575,176,11.9,3
618,14304,398,10.6,2
619,11324,234,17.3,2
620,12866,438,3.9,1
621,11003,149,8.1,6
622,12503,98,7.7,2
623,11766,5,16.4,5
624,11554,384,9.4,5
625,12292,159,4.0,5
626,11986,451,7.6,1
627,14867,87,11.7,4
628,10238,231,10.2,3
629,13318,120,9.8,3
630,12393,443,10.7,3
631,13556,172,13.5,4
632,11585,64,12.8,4
633,11308,94,7.6,2
634,12086,170,10.9,3
635,11820,235,14.7,7
636,10032,478,10.7,3
637,10292,121,8.3,4
638,13687,497,6.6,4
639,14388,100,10.8,0
640,11643,422,9.4,1
641,10578,135,9.4,5
642,13910,315,10.7,3
643,11224,69,8.0,3
644,14077,198,13.9,1
645,12653,305,9.8,0
646,10447,206,16.0,4
647,13420,11,13.1,3
648,14374,357,9.8,2
649,13042,130,6.2,3
650,12580,223,12.0,6
651,11423,110,11.4,5
652,12610,27,7.9,4
653,13082,400,6.6,2
654,10059,320,10.0,1
655,13160,194,10.7,2
656,10459,433,10.5,3
657,10104,346,10.0,3
658,14927,16,13.6,1
659,10789,73,8.1,3
660,10742,436,15.7,2
661,13407,116,5.0,7
662,11573,201,7.8,6
663,12702,133,6.4,3
664,14651,164,10.7,2
665,14724,7,11.2,5
666,13413,61,15.3,4
667,12977,352,10.6,3
668,12135,413,12.5,2
669,10428,485,6.7,2
670,11945,120,5.9,5
671,11272,451,13.9,5
672,14980,414,12.8,5
673,14582,424,10.7,0
674,14700,31,7.4,4
675,10412,48,17.3,2
676,11932,91,12.5,3
677,12496,6,7.9,1
678,10247,446,10.2,3
679,12818,285,5.6,3
680,12172,393,10.4,8
681,13332,438,8.6,5
682,12925,84,17.2,3
683,12061,370,12.3,7
684,13335,139,2.4,2
685,14896,275,15.5,4
686,10945,487,11.2,2
687,12248,330,14.6,5
688,11263,133,10.8,3
689,10176,103,10.5,2
690,11053,471,7.5,3
691,12725,326,12.0,4
692,12583,95,13.3,3
693,11318,18,4.7,3
694,14573,21,7.5,6
695,13368,399,6.3,4
696,11675,443,15.4,5
697,10334,479,13.4,3
698,11265,458,8.9,4
699,13178,6,13.2,3
700,12946,24,5.9,2
701,14781,225,10.9,4
702,14657,60,12.8,2
703,14219,284,8.4,2
704,12666,220,10.0,4
705,14936,330,11.5,2
706,10416,279,13.5,3
707,10708,335,5.4,2
708,12685,46,9.5,5
709,13367,368,7.2,5
710,13504,293,11.6,3
711,14443,142,9.1,4
712,12560,304,12.4,4
713,14945,78,6.0,3
714,13972,199,8.6,6
715,14631,115,16.0,7
716,12958,36,9.4,3
717,11730,466,13.2,4
718,11902,60,6.8,5
719,14760,438,5.5,4
720,11042,245,14.2,0
721,10027,79,12.4,1
722,12584,369,8.7,5
723,11053,191,14.9,3
724,11675,97,8.1,1
725,13056,367,7.4,1
726,11659,304,10.0,2
727,14736,376,9.2,1
728,13952,150,6.5,2
729,13189,43,9.6,2
730,11742,297,10.8,1
731,14088,401,12.5,3
732,14138,319,18.0,4
733,13232,218,13.7,2
734,11715,207,6.8,4
735,13197,488,18.2,4
736,13332,146,10.2,4
737,13348,328,11.0,2
738,11987,259,8.0,6
739,13545,54,10.0,1
740,10702,119,9.9,7
741,11455,243,12.0,6
742,13787,142,12.7,3
743,12472,290,8.9,4
744,14261,127,13.6,1
745,13045,225,8.4,4
746,13884,382,13.3,1
747,12941,229,8.0,3
748,11821,241,6.6,1
749,12803,257,9.1,3
750,13796,245,9.3,4
751,12464,176,7.0,4
752,13372,355,8.9,1
753,10336,10,8.4,4
754,11925,83,10.0,3
755,14977,139,11.6,4
756,13861,119,9.8,4
757,12789,127,7.2,1
758,14126,99,8.9,2
759,13607,66,13.0,4
760,11541,259,8.0,3
761,10575,143,7.1,3
762,10221,59,5.4,1
763,14923,244,7.9,6
764,12014,361,12.5,2
765,12642,192,7.8,3
766,10754,431,9.9,3
767,11021,348,8.5,1
768,11489,130,8.4,5
769,11962,158,13.9,3
770,13484,166,9.6,2
771,10438,261,6.2,0
772,10479,390,5.4,1
773,10783,133,6.8,4
774,14168,12,6.5,2
775,14678,132,12.6,4
776,10220,408,9.4,3
777,11028,153,10.2,3
778,10290,282,9.2,3
779,10380,55,9.4,1
780,13974,256,12.8,3
781,12852,126,13.0,0
782,11379,46,15.4,2
783,11959,174,7.4,2
784,12128,299,8.8,2
785,10066,444,10.6,3
786,12184,417,14.7,3
787,14495,21,7.9,3
788,13775,471,12.8,1
789,14443,255,8.2,2
790,13920,485,12.9,1
791,10778,165,10.3,3
792,12567,268,6.9,6
793,11904,101,9.6,6
794,12762,149,11.8,2
795,13852,141,1.4,0
796,10079,491,12.7,0
797,11582,373,5.6,1
798,12163,33,9.3,1
799,10986,236,9.7,3
800,11486,198,1.8,3
801,12621,235,8.2,1
802,10965,332,11.3,6
803,12548,445,15.6,4
804,10829,486,12.5,0
805,13174,120,12.7,3
806,12674,158,3.5,3
807,11719,37,9.1,2
808,12433,338,15.5,4
809,11229,144,13.0,2
810,12411,45,8.5,5
811,13779,199,10.3,1
812,11841,238,12.9,7
813,10498,129,12.9,3
814,10537,181,9.6,5
815,13306,28,9.3,2
816,11165,437,11.3,3
817,11972,300,12.9,0
818,13528,67,8.8,4
819,10300,242,4.5,2
820,12387,363,9.8,2
821,14399,244,6.2,4
822,13964,167,15.8,5
823,14688,266,7.1,2
824,14172,51,9.6,6
825,13860,109,7.9,4
826,10914,398,8.4,1
827,14876,335,12.5,4
828,13696,134,13.2,3
829,10921,167,12.0,2
830,11524,493,12.9,2
831,11750,80,8.4,1
832,13618,495,6.7,5
833,12701,338,7.8,1
834,11006,99,11.3,3
835,11702,432,13.7,3
836,13303,153,6.3,1
837,10804,481,8.9,3
838,13367,376,9.2,3
839,12893,289,7.7,2
840,13499,83,11.8,1
841,14968,102,13.0,2
842,13163,331,17.4,2
843,10115,376,15.9,2
844,13330,231,12.4,3
845,14469,451,8.6,5
846,14946,252,12.1,2
847,12138,358,4.1,6
848,14853,321,12.0,3
849,10031,424,11.1,4
850,11806,25,10.2,3
851,13570,57,7.7,4
852,11437,416,12.4,1
853,14786,302,7.0,3
854,13429,100,13.2,3
855,10457,388,11.8,3
856,10449,119,11.3,1
857,10068,151,7.0,6
858,14090,80,8.0,5
859,11863,331,5.5,3
860,11803,150,12.5,2
861,14970,359,10.1,7
862,14563,126,8.4,4
863,13432,289,9.6,5
864,10128,41,13.1,3
865,14829,190,6.6,4
866,13826,422,8.7,4
867,11268,440,5.3,2
868,14011,63,6.8,3
869,11043,205,9.2,4
870,13739,341,13.3,5
871,10368,204,11.9,3
872,12605,439,13.0,0
873,12641,179,12.0,1
874,14908,346,7.1,0
875,10059,497,15.1,1
876,14257,321,12.2,5
877,10103,105,15.4,2
878,14942,313,15.0,1
879,14508,86,9.7,5
880,10786,411,8.5,3
881,14279,441,3.3,1
882,13946,439,10.5,4
883,12447,480,9.9,2
884,10957,328,8.1,5
885,12703,251,8.5,0
886,10437,482,11.6,2
887,12366,338,4.3,5
888,14702,4,13.8,3
889,10497,321,12.6,3
890,11367,184,8.9,2
891,12866,181,9.8,3
892,11852,300,11.0,2
893,11023,16,12.4,1
894,13131,94,16.1,2
895,12845,279,8.4,3
896,11490,415,14.1,5
897,12335,156,9.3,3
898,14433,434,8.8,6
899,13390,357,9.2,4
900,10203,16,13.2,3
901,10231,41,8.3,6
902,13635,137,10.3,3
903,13129,258,8.5,2
904,12692,366,8.7,1
905,13492,43,14.1,3
906,12963,66,10.0,2
907,12328,352,8.0,2
908,14905,208,8.7,3
909,14562,245,10.8,6
910,12785,243,9.8,7
911,10804,77,10.0,3
912,14362,433,9.1,3
913,13724,219,13.1,1
914,12902,381,11.7,3
915,10176,223,9.3,2
916,11445,353,10.4,4
917,14004,21,7.6,2
918,13533,147,9.8,4
919,14350,368,7.9,2
920,11544,313,10.6,2
921,14999,77,9.7,3
922,12155,316,9.3,5
923,12106,403,10.4,1
924,13414,355,10.9,4
925,13362,448,13.3,1
926,14180,35,12.3,2
927,11141,126,12.9,0
928,14808,417,8.9,6
929,11762,323,10.9,2
930,11941,496,15.2,3
931,11807,469,9.7,2
932,14997,232,10.4,3
933,13174,87,10.4,4
934,10657,304,9.7,2
935,12504,188,13.9,1
936,10659,493,8.7,4
937,12839,45,13.2,2
938,14947,331,12.3,3
939,14237,324,9.8,4
940,12454,452,8.8,5
941,11055,399,9.9,7
942,13042,348,13.5,3
943,14004,484,13.2,5
944,12339,72,12.4,1
945,10111,216,9.7,3
946,11719,98,10.1,3
947,14292,271,11.9,5
948,10126,407,9.3,1
949,10262,444,12.5,4
950,12935,91,10.5,7
951,12203,142,13.0,2
952,11605,117,5.8,2
953,14204,2,8.2,3
954,12083,381,9.0,3
955,13943,483,11.2,4
956,10655,43,8.9,1
957,12464,71,16.5,1
958,10285,144,6.3,1
959,12566,342,13.1,2
960,13802,246,13.7,2
961,10027,284,11.5,2
962,12275,416,9.1,2
963,13868,327,9.9,3
964,13973,214,12.5,4
965,11592,107,5.2,5
966,13382,386,8.1,5
967,14944,456,8.4,2
968,11129,263,11.6,2
969,14114,294,13.3,3
970,12137,176,15.9,7
971,10157,469,4.4,3
972,11290,107,6.9,2
973,12182,86,9.0,3
974,12512,227,11.7,1
975,11772,82,12.3,6
976,11156,329,6.5,1
977,12789,241,11.1,4
978,12977,2,2.3,2
979,13500,251,10.9,4
980,12914,42,9.9,4
981,10204,426,9.7,1
982,11823,81,8.8,5
983,11360,488,9.7,7
984,12545,404,11.0,5
985,10442,262,15.0,5
986,11316,395,6.1,1
987,14038,197,9.2,2
988,11149,248,11.6,2
989,14967,330,9.8,1
990,11199,471,10.4,9
991,12917,481,8.2,2
992,13886,296,12.5,1
993,14176,384,3.5,6
994,12860,36,7.0,1
995,12963,103,15.9,3
996,11368,435,6.3,6
997,14666,303,7.4,1
998,12910,98,7.6,3
999,12217,145,8.4,6
1000,13406,282,9.9,1
1001,13060,437,13.2,5
1002,12284,127,11.4,1
1003,14495,304,9.3,3
1004,10821,283,15.2,2
1005,13061,302,8.7,2
1006,12525,67,10.2,1
1007,14941,379,10.4,4
1008,12633,147,12.5,2
1009,12663,328,6.5,6
1010,12826,81,6.9,2
1011,14454,253,12.8,5
1012,13130,242,15.4,3
1013,14015,65,8.9,1
1014,14617,71,6.2,2
1015,14489,36,6.4,3
1016,11667,67,13.1,1
1017,13401,83,4.9,3
1018,13583,170,10.2,4
1019,12201,475,9.5,5
1020,10893,67,8.0,3
1021,13951,98,7.4,6
1022,10984,325,12.1,1
1023,10583,433,12.3,1
1024,14116,293,13.5,4
1025,12641,250,11.5,3
1026,11974,302,10.0,1
1027,13418,208,10.5,2
1028,14115,312,13.0,5
1029,12416,375,4.9,4
1030,10889,63,11.3,4
1031,11884,78,8.3,3
1032,14822,30,11.1,3
1033,13823,352,6.9,2
1034,10147,251,12.6,0
1035,11717,319,11.8,4
1036,12478,115,7.9,4
1037,14944,365,8.6,1
1038,11464,332,8.3,4
1039,12246,219,10.2,0
1040,11311,154,16.1,3
1041,14661,496,4.5,4
1042,10369,221,11.0,2
1043,11264,23,11.3,3
1044,12850,369,8.4,4
1045,12748,214,5.0,0
1046,12566,148,9.4,1
1047,11819,358,6.3,6
1048,11888,302,11.7,0
1049,13784,208,5.9,1
1050,10060,159,9.8,3
1051,10545,451,7.7,3
1052,13065,405,13.4,3
1053,11231,307,14.7,3
1054,10559,167,8.9,3
1055,11513,63,6.8,2
1056,10670,325,15.0,3
1057,10258,276,9.6,0
1058,11071,375,10.9,3
1059,11051,23,9.6,3
1060,14039,224,9.4,0
1061,14023,426,8.5,4
1062,10145,201,4.3,2
1063,12635,387,15.3,3
1064,12570,283,10.6,2
1065,10801,347,9.8,2
1066,11486,458,12.8,6
1067,13749,336,8.3,1
