SupportID,StudentID,ParentEducation,InternetAccess
285,10285,Graduate,Yes
286,10286,High School,Yes
287,10287,High School,Yes
288,10288,Some College,Yes
289,10289,College,Yes
290,10290,Graduate,Yes
291,10291,Graduate,Yes
292,10292,High School,Yes
293,10293,Some College,No
294,10294,High School,Yes
295,10295,High School,Yes
296,10296,Graduate,Yes
297,10297,High School,No
298,10298,High School,Yes
299,10299,Some College,Yes
300,10300,Graduate,Yes
301,10301,College,Yes
302,10302,Some College,Yes
303,10303,Some College,Yes
304,10304,Some College,Yes
305,10305,Graduate,No
306,10306,High School,Yes
307,10307,College,Yes
308,10308,Graduate,Yes
309,10309,High School,Yes
310,10310,Some College,Yes
311,10311,Graduate,Yes
312,10312,High School,Yes
313,10313,College,Yes
314,10314,College,Yes
315,10315,High School,Yes
316,10316,Graduate,Yes
317,10317,Some College,Yes
318,10318,High School,Yes
319,10319,Some College,Yes
320,10320,College,Yes
321,10321,High School,No
322,10322,College,No
323,10323,Some College,No
324,10324,Some College,Yes
325,10325,High School,Yes
326,10326,High School,Yes
327,10327,High School,Yes
328,10328,College,Yes
329,10329,Some College,No
330,10330,Some College,Yes
331,10331,College,Yes
332,10332,High School,Yes
333,10333,Graduate,Yes
334,10334,High School,Yes
335,10335,Graduate,Yes
336,10336,Graduate,Yes
337,10337,College,Yes
338,10338,Some College,Yes
339,10339,Some College,Yes
340,10340,Some College,Yes
341,10341,Some College,Yes
342,10342,College,Yes
343,10343,Graduate,No
344,10344,Some College,Yes
345,10345,Graduate,Yes
346,10346,College,Yes
347,10347,High School,Yes
348,10348,College,Yes
349,10349,Some College,Yes
350,10350,High School,Yes
351,10351,College,Yes
352,10352,College,Yes
353,10353,Graduate,Yes
354,10354,College,Yes
355,10355,High School,Yes
356,10356,College,Yes
357,10357,Some College,Yes
358,10358,Graduate,Yes
359,10359,High School,Yes
360,10360,High School,No
361,10361,College,Yes
362,10362,Some College,Yes
363,10363,Graduate,Yes
364,10364,High School,Yes
365,10365,Graduate,Yes
366,10366,College,Yes
367,10367,Some College,Yes
368,10368,College,Yes
369,10369,Graduate,Yes
370,10370,College,Yes
371,10371,Graduate,Yes
372,10372,High School,No
373,10373,High School,Yes
374,10374,College,Yes
375,10375,High School,Yes
376,10376,Graduate,Yes
377,10377,High School,No
378,10378,Some College,Yes
379,10379,Some College,Yes
380,10380,College,Yes
381,10381,College,Yes
382,10382,College,Yes
383,10383,College,Yes
384,10384,Graduate,Yes
385,10385,Graduate,Yes
386,10386,Some College,Yes
387,10387,Graduate,Yes
388,10388,High School,Yes
389,10389,Some College,Yes
390,10390,College,Yes
391,10391,College,Yes
392,10392,Graduate,Yes
393,10393,Some College,No
394,10394,Graduate,Yes
395,10395,Graduate,Yes
396,10396,Graduate,Yes
397,10397,Some College,Yes
398,10398,College,Yes
399,10399,High School,No
400,10400,College,Yes
401,10401,Some College,Yes
402,10402,College,Yes
403,10403,College,Yes
404,10404,High School,Yes
405,10405,College,Yes
406,10406,College,Yes
407,10407,College,Yes
408,10408,Graduate,Yes
409,10409,Some College,Yes
410,10410,Some College,Yes
411,10411,High School,Yes
412,10412,Graduate,Yes
413,10413,Graduate,Yes
414,10414,College,Yes
415,10415,Some College,Yes
416,10416,High School,Yes
417,10417,Graduate,Yes
418,10418,College,Yes
419,10419,High School,No
420,10420,Graduate,Yes
421,10421,High School,Yes
422,10422,Graduate,Yes
423,10423,High School,Yes
424,10424,Graduate,Yes
425,10425,Graduate,Yes
426,10426,High School,Yes
427,10427,Graduate,Yes
428,10428,Graduate,Yes
429,10429,Graduate,Yes
430,10430,High School,No
431,10431,High School,Yes
432,10432,Graduate,Yes
433,10433,Graduate,No
434,10434,High School,Yes
435,10435,College,Yes
436,10436,Graduate,Yes
437,10437,College,Yes
438,10438,High School,Yes
439,10439,Graduate,Yes
440,10440,College,Yes
441,10441,High School,Yes
442,10442,College,Yes
443,10443,Some College,Yes
444,10444,High School,Yes
445,10445,Some College,Yes
446,10446,High School,Yes
447,10447,High School,Yes
448,10448,Graduate,Yes
449,10449,Some College,No
450,10450,Some College,Yes
451,10451,Some College,Yes
452,10452,High School,Yes
453,10453,Some College,Yes
454,10454,Some College,Yes
455,10455,Graduate,Yes
456,10456,College,Yes
457,10457,College,Yes
458,10458,Some College,Yes
459,10459,Some College,Yes
460,10460,Some College,Yes
461,10461,Some College,Yes
462,10462,College,Yes
463,10463,Graduate,Yes
464,10464,High School,Yes
465,10465,Some College,Yes
466,10466,Some College,Yes
467,10467,College,Yes
468,10468,Some College,Yes
469,10469,Graduate,Yes
470,10470,Graduate,Yes
471,10471,Some College,Yes
472,10472,College,Yes
473,10473,Some College,Yes
474,10474,Some College,Yes
475,10475,College,Yes
476,10476,Graduate,No
477,10477,High School,Yes
478,10478,Some College,Yes
479,10479,Graduate,Yes
480,10480,Some College,Yes
481,10481,High School,Yes
482,10482,College,Yes
483,10483,Graduate,Yes
484,10484,High School,Yes
485,10485,Some College,Yes
486,10486,High School,Yes
487,10487,Graduate,Yes
488,10488,College,Yes
489,10489,Some College,Yes
490,10490,College,No
491,10491,College,Yes
492,10492,High School,Yes
493,10493,High School,Yes
494,10494,Graduate,Yes
495,10495,Graduate,No
496,10496,College,Yes
497,10497,Graduate,Yes
498,10498,College,Yes
499,10499,Some College,Yes
500,10500,College,Yes
501,10501,Graduate,Yes
502,10502,Graduate,Yes
503,10503,College,No
504,10504,High School,Yes
505,10505,College,Yes
506,10506,College,Yes
507,10507,High School,Yes
508,10508,Some College,Yes
509,10509,High School,Yes
510,10510,Graduate,Yes
511,10511,High School,Yes
512,10512,Graduate,Yes
513,10513,Graduate,Yes
514,10514,College,Yes
515,10515,College,No
516,10516,Some College,Yes
517,10517,Graduate,Yes
518,10518,College,Yes
519,10519,Graduate,Yes
520,10520,Some College,Yes
521,10521,Graduate,Yes
522,10522,Some College,Yes
523,10523,Some College,Yes
524,10524,Some College,Yes
525,10525,College,Yes
526,10526,High School,Yes
527,10527,High School,Yes
528,10528,College,Yes
529,10529,Graduate,Yes
530,10530,College,No
531,10531,Graduate,Yes
532,10532,Some College,Yes
533,10533,College,Yes
534,10534,High School,Yes
535,10535,Graduate,Yes
536,10536,College,Yes
537,10537,College,Yes
538,10538,Graduate,Yes
539,10539,Some College,Yes
540,10540,Some College,Yes
541,10541,Some College,Yes
542,10542,Some College,Yes
543,10543,Graduate,Yes
544,10544,High School,Yes
545,10545,College,Yes
546,10546,College,Yes
547,10547,Some College,No
548,10548,Graduate,Yes
549,10549,High School,No
550,10550,High School,Yes
551,10551,College,No
552,10552,Some College,Yes
553,10553,College,Yes
554,10554,College,Yes
555,10555,High School,Yes
556,10556,Graduate,Yes
557,10557,High School,Yes
558,10558,College,Yes
559,10559,Some College,No
560,10560,Some College,Yes
561,10561,Graduate,Yes
562,10562,Graduate,Yes
563,10563,Graduate,No
564,10564,College,No
565,10565,College,Yes
566,10566,Graduate,Yes
567,10567,Some College,Yes
568,10568,Some College,Yes
569,10569,Some College,Yes
570,10570,College,Yes
571,10571,High School,Yes
572,10572,Some College,Yes
573,10573,Some College,Yes
574,10574,Some College,Yes
575,10575,Graduate,Yes
576,10576,College,Yes
577,10577,Graduate,Yes
578,10578,Graduate,Yes
579,10579,High School,Yes
580,10580,Graduate,Yes
581,10581,High School,No
582,10582,Graduate,Yes
583,10583,Some College,Yes
584,10584,College,Yes
585,10585,Graduate,Yes
586,10586,High School,Yes
587,10587,College,Yes
588,10588,High School,Yes
589,10589,Some College,Yes
590,10590,Graduate,Yes
591,10591,College,Yes
592,10592,Some College,Yes
593,10593,Graduate,Yes
594,10594,Graduate,Yes
595,10595,High School,Yes
596,10596,High School,Yes
597,10597,Some College,Yes
598,10598,High School,Yes
599,10599,Some College,Yes
600,10600,Some College,Yes
601,10601,Some College,Yes
602,10602,High School,Yes
603,10603,College,Yes
604,10604,Some College,Yes
605,10605,College,Yes
606,10606,Graduate,No
607,10607,High School,Yes
608,10608,High School,Yes
609,10609,College,Yes
610,10610,Graduate,Yes
611,10611,Graduate,Yes
612,10612,Some College,Yes
613,10613,High School,No
614,10614,Graduate,Yes
615,10615,Graduate,No
616,10616,Some College,Yes
617,10617,Some College,Yes
618,10618,College,Yes
619,10619,High School,Yes
620,10620,Graduate,Yes
621,10621,College,Yes
622,10622,High School,Yes
623,10623,College,Yes
624,10624,High School,Yes
625,10625,High School,Yes
626,10626,Graduate,Yes
627,10627,High School,Yes
628,10628,Some College,Yes
629,10629,Graduate,Yes
630,10630,Some College,Yes
631,10631,College,Yes
632,10632,College,Yes
633,10633,High School,Yes
634,10634,High School,Yes
635,10635,Some College,Yes
636,10636,Some College,Yes
637,10637,Some College,Yes
638,10638,College,Yes
639,10639,Some College,Yes
640,10640,Graduate,Yes
641,10641,Graduate,Yes
642,10642,College,Yes
643,10643,Some College,Yes
644,10644,Some College,Yes
645,10645,High School,Yes
646,10646,Graduate,Yes
647,10647,College,Yes
648,10648,Some College,Yes
649,10649,High School,Yes
650,10650,College,Yes
651,10651,College,Yes
652,10652,Graduate,Yes
653,10653,Some College,Yes
654,10654,College,Yes
655,10655,High School,Yes
656,10656,High School,No
657,10657,College,Yes
658,10658,High School,No
659,10659,College,Yes
660,10660,High School,Yes
661,10661,College,Yes
662,10662,College,Yes
663,10663,College,No
664,10664,High School,Yes
665,10665,College,Yes
666,10666,Graduate,Yes
667,10667,College,Yes
668,10668,Some College,Yes
669,10669,Some College,Yes
670,10670,Graduate,No
671,10671,College,Yes
672,10672,Some College,Yes
673,10673,College,Yes
674,10674,Some College,Yes
675,10675,High School,Yes
676,10676,High School,Yes
677,10677,Graduate,Yes
678,10678,Graduate,Yes
679,10679,College,No
680,10680,Graduate,Yes
681,10681,College,Yes
682,10682,High School,Yes
683,10683,High School,Yes
684,10684,Some College,Yes
685,10685,College,Yes
686,10686,High School,Yes
687,10687,High School,No
688,10688,College,Yes
689,10689,Some College,Yes
690,10690,Some College,No
691,10691,Some College,Yes
692,10692,Some College,Yes
693,10693,High School,Yes
694,10694,College,No
695,10695,College,Yes
696,10696,High School,Yes
697,10697,High School,Yes
698,10698,High School,Yes
699,10699,Graduate,Yes
700,10700,College,Yes
701,10701,College,Yes
702,10702,College,Yes
703,10703,Some College,Yes
704,10704,High School,Yes
705,10705,High School,Yes
706,10706,High School,Yes
707,10707,Graduate,Yes
708,10708,College,Yes
709,10709,High School,Yes
710,10710,Graduate,Yes
711,10711,High School,Yes
712,10712,Some College,Yes
713,10713,College,Yes
714,10714,Graduate,Yes
715,10715,High School,No
716,10716,College,Yes
717,10717,Graduate,Yes
718,10718,College,Yes
719,10719,College,Yes
720,10720,Some College,Yes
721,10721,College,Yes
722,10722,Graduate,Yes
723,10723,College,Yes
724,10724,Graduate,Yes
725,10725,College,Yes
726,10726,High School,Yes
727,10727,Some College,Yes
728,10728,High School,Yes
729,10729,Some College,Yes
730,10730,Graduate,Yes
731,10731,Some College,Yes
732,10732,College,Yes
733,10733,College,Yes
734,10734,High School,Yes
735,10735,Some College,Yes
736,10736,Graduate,Yes
737,10737,Graduate,Yes
738,10738,College,Yes
739,10739,Graduate,Yes
740,10740,College,Yes
741,10741,College,Yes
742,10742,College,Yes
743,10743,High School,Yes
744,10744,High School,Yes
745,10745,College,Yes
746,10746,College,Yes
747,10747,College,Yes
748,10748,Graduate,Yes
749,10749,College,Yes
750,10750,College,Yes
751,10751,Some College,Yes
752,10752,Some College,Yes
753,10753,Some College,Yes
754,10754,Some College,Yes
755,10755,College,Yes
756,10756,Some College,Yes
757,10757,Graduate,Yes
758,10758,Graduate,Yes
759,10759,Some College,Yes
760,10760,High School,Yes
761,10761,Graduate,Yes
762,10762,Graduate,Yes
763,10763,Some College,Yes
764,10764,Some College,Yes
765,10765,College,Yes
766,10766,Graduate,Yes
767,10767,Some College,Yes
768,10768,Some College,Yes
769,10769,College,Yes
770,10770,Graduate,Yes
771,10771,Some College,No
772,10772,College,Yes
773,10773,Some College,Yes
774,10774,High School,Yes
775,10775,High School,Yes
776,10776,Some College,Yes
777,10777,Graduate,Yes
778,10778,High School,Yes
779,10779,College,Yes
780,10780,Some College,Yes
781,10781,College,Yes
782,10782,High School,Yes
783,10783,Graduate,Yes
784,10784,College,No
785,10785,High School,Yes
786,10786,High School,Yes
787,10787,High School,Yes
788,10788,College,Yes
789,10789,High School,Yes
790,10790,Some College,Yes
791,10791,High School,Yes
792,10792,Some College,Yes
793,10793,Graduate,Yes
794,10794,Some College,Yes
795,10795,Graduate,Yes
796,10796,Graduate,Yes
797,10797,Some College,Yes
798,10798,Graduate,Yes
799,10799,Some College,Yes
800,10800,College,Yes
801,10801,Graduate,Yes
802,10802,Some College,Yes
803,10803,Graduate,Yes
804,10804,High School,Yes
805,10805,Some College,No
806,10806,High School,Yes
807,10807,Graduate,Yes
808,10808,Graduate,No
809,10809,College,Yes
810,10810,Some College,Yes
811,10811,High School,Yes
812,10812,College,Yes
813,10813,Graduate,Yes
814,10814,Graduate,Yes
815,10815,College,Yes
816,10816,High School,Yes
817,10817,Graduate,Yes
818,10818,Graduate,No
819,10819,Some College,Yes
820,10820,College,Yes
821,10821,Graduate,Yes
822,10822,High School,Yes
823,10823,Some College,Yes
824,10824,College,Yes
825,10825,High School,Yes
826,10826,Graduate,Yes
827,10827,College,Yes
828,10828,College,Yes
829,10829,High School,Yes
830,10830,College,Yes
831,10831,High School,No
832,10832,Graduate,No
833,10833,Some College,No
834,10834,High School,Yes
835,10835,Some College,Yes
836,10836,College,Yes
837,10837,High School,Yes
838,10838,Graduate,Yes
839,10839,High School,Yes
840,10840,High School,Yes
841,10841,High School,Yes
842,10842,Some College,Yes
843,10843,Some College,Yes
844,10844,College,Yes
845,10845,College,Yes
846,10846,College,No
847,10847,College,Yes
848,10848,High School,Yes
849,10849,Some College,Yes
850,10850,Some College,Yes
851,10851,Some College,Yes
852,10852,Some College,Yes
853,10853,College,Yes
854,10854,High School,No
855,10855,Some College,Yes
856,10856,Graduate,Yes
857,10857,High School,Yes
858,10858,Graduate,Yes
859,10859,High School,Yes
860,10860,High School,Yes
861,10861,High School,Yes
862,10862,Graduate,Yes
863,10863,Some College,No
864,10864,Some College,Yes
865,10865,Graduate,Yes
866,10866,Some College,Yes
867,10867,College,Yes
868,10868,Some College,Yes
869,10869,College,Yes
870,10870,College,Yes
871,10871,College,Yes
872,10872,Graduate,Yes
873,10873,Some College,Yes
874,10874,Some College,Yes
875,10875,Graduate,Yes
876,10876,Graduate,Yes
877,10877,Some College,Yes
878,10878,Graduate,Yes
879,10879,Graduate,Yes
880,10880,College,Yes
881,10881,Graduate,Yes
882,10882,College,Yes
883,10883,High School,Yes
884,10884,College,Yes
885,10885,College,Yes
886,10886,Graduate,Yes
887,10887,Some College,Yes
888,10888,High School,Yes
889,10889,High School,Yes
890,10890,High School,Yes
891,10891,Some College,Yes
892,10892,High School,Yes
893,10893,High School,Yes
894,10894,Some College,Yes
895,10895,High School,Yes
896,10896,Graduate,Yes
897,10897,Graduate,Yes
898,10898,College,Yes
899,10899,College,Yes
900,10900,College,Yes
901,10901,Graduate,Yes
902,10902,Graduate,Yes
903,10903,Graduate,Yes
904,10904,College,Yes
905,10905,College,Yes
906,10906,College,Yes
907,10907,College,Yes
908,10908,College,Yes
909,10909,College,Yes
910,10910,Graduate,Yes
911,10911,Some College,Yes
912,10912,Some College,Yes
913,10913,College,Yes
914,10914,Some College,Yes
915,10915,Some College,Yes
916,10916,Graduate,Yes
917,10917,College,Yes
918,10918,College,Yes
919,10919,Some College,Yes
920,10920,College,Yes
921,10921,College,No
922,10922,College,Yes
923,10923,College,Yes
924,10924,Some College,Yes
925,10925,High School,Yes
926,10926,Some College,Yes
927,10927,Graduate,Yes
928,10928,High School,Yes
929,10929,High School,Yes
930,10930,High School,Yes
931,10931,Some College,Yes
932,10932,Graduate,No
933,10933,Some College,Yes
934,10934,Graduate,No
935,10935,Some College,Yes
936,10936,Some College,Yes
937,10937,Some College,Yes
938,10938,High School,Yes
939,10939,Some College,Yes
940,10940,Graduate,No
941,10941,Graduate,No
942,10942,Graduate,Yes
943,10943,High School,Yes
944,10944,Some College,Yes
945,10945,Some College,Yes
946,10946,College,Yes
947,10947,High School,Yes
948,10948,Graduate,Yes
949,10949,Graduate,Yes
950,10950,Some College,Yes
951,10951,Graduate,Yes
952,10952,Some College,Yes
953,10953,Some College,No
954,10954,College,Yes
955,10955,High School,Yes
956,10956,Some College,Yes
957,10957,Some College,No
958,10958,Some College,Yes
959,10959,College,Yes
960,10960,Some College,Yes
961,10961,High School,Yes
962,10962,High School,Yes
963,10963,Graduate,No
964,10964,High School,Yes
965,10965,Graduate,No
966,10966,High School,Yes
967,10967,Graduate,Yes
968,10968,Some College,Yes
969,10969,College,Yes
970,10970,College,Yes
971,10971,College,No
972,10972,Some College,Yes
973,10973,College,Yes
974,10974,High School,Yes
975,10975,Graduate,Yes
976,10976,Some College,Yes
977,10977,College,No
978,10978,High School,Yes
979,10979,High School,Yes
980,10980,Some College,Yes
981,10981,Some College,Yes
982,10982,College,Yes
983,10983,Graduate,Yes
984,10984,College,Yes
985,10985,College,Yes
986,10986,Some College,Yes
987,10987,College,Yes
988,10988,College,Yes
989,10989,Graduate,Yes
990,10990,High School,Yes
991,10991,High School,Yes
992,10992,Graduate,Yes
993,10993,High School,No
994,10994,College,Yes
995,10995,Graduate,Yes
996,10996,Graduate,Yes
997,10997,Some College,Yes
998,10998,High School,Yes
999,10999,Some College,Yes
1000,11000,College,Yes
1001,11001,Graduate,Yes
1002,11002,College,Yes
1003,11003,High School,Yes
1004,11004,Some College,Yes
1005,11005,High School,Yes
1006,11006,College,Yes
1007,11007,Some College,Yes
1008,11008,High School,Yes
1009,11009,College,Yes
1010,11010,High School,Yes
1011,11011,Graduate,Yes
1012,11012,Some College,Yes
1013,11013,Some College,Yes
1014,11014,Some College,Yes
1015,11015,Graduate,No
1016,11016,Some College,Yes
1017,11017,Graduate,No
1018,11018,Some College,Yes
1019,11019,High School,Yes
1020,11020,High School,Yes
1021,11021,High School,Yes
1022,11022,High School,Yes
1023,11023,Graduate,Yes
1024,11024,College,Yes
1025,11025,College,Yes
1026,11026,High School,Yes
1027,11027,College,No
1028,11028,College,Yes
1029,11029,Some College,Yes
1030,11030,Graduate,Yes
1031,11031,High School,Yes
1032,11032,College,Yes
1033,11033,College,Yes
1034,11034,High School,Yes
1035,11035,Some College,Yes
1036,11036,High School,Yes
1037,11037,Some College,Yes
1038,11038,College,Yes
1039,11039,Graduate,Yes
1040,11040,Some College,Yes
1041,11041,Some College,Yes
1042,11042,High School,Yes
1043,11043,College,Yes
1044,11044,Graduate,Yes
1045,11045,High School,Yes
1046,11046,High School,No
1047,11047,Graduate,Yes
1048,11048,College,Yes
1049,11049,Graduate,Yes
1050,11050,High School,No
1051,11051,High School,Yes
1052,11052,Some College,Yes
1053,11053,Graduate,Yes
1054,11054,Graduate,Yes
1055,11055,Graduate,Yes
1056,11056,High School,Yes
1057,11057,College,No
1058,11058,High School,Yes
1059,11059,Some College,Yes
1060,11060,High School,Yes
1061,11061,High School,No
1062,11062,High School,Yes
1063,11063,Some College,Yes
1064,11064,Graduate,Yes
1065,11065,College,Yes
1066,11066,College,Yes
1067,11067,Some College,Yes
1068,11068,Graduate,No
1069,11069,Graduate,Yes
1070,11070,Some College,Yes
1071,11071,High School,Yes
1072,11072,Graduate,Yes
1073,11073,College,Yes
1074,11074,Some College,No
1075,11075,College,Yes
1076,11076,High School,Yes
1077,11077,Some College,Yes
1078,11078,College,Yes
1079,11079,College,Yes
1080,11080,High School,Yes
1081,11081,Some College,Yes
1082,11082,Graduate,Yes
1083,11083,Graduate,Yes
1084,11084,College,Yes
1085,11085,High School,Yes
1086,11086,College,Yes
1087,11087,High School,Yes
1088,11088,Graduate,Yes
1089,11089,College,Yes
1090,11090,College,Yes
1091,11091,High School,Yes
1092,11092,Some College,Yes
1093,11093,High School,Yes
1094,11094,Some College,Yes
1095,11095,Graduate,Yes
1096,11096,College,Yes
1097,11097,College,Yes
1098,11098,High School,Yes
1099,11099,High School,Yes
1100,11100,Graduate,Yes
1101,11101,Graduate,Yes
1102,11102,Some College,Yes
1103,11103,Graduate,Yes
1104,11104,Graduate,Yes
1105,11105,Graduate,No
1106,11106,Graduate,Yes
1107,11107,Some College,No
1108,11108,Graduate,Yes
1109,11109,Some College,Yes
1110,11110,High School,Yes
1111,11111,College,Yes
1112,11112,High School,Yes
1113,11113,Graduate,Yes
1114,11114,College,Yes
1115,11115,Graduate,No
1116,11116,Graduate,Yes
1117,11117,High School,Yes
1118,11118,Graduate,No
1119,11119,High School,Yes
1120,11120,Graduate,Yes
1121,11121,Some College,Yes
1122,11122,College,Yes
1123,11123,High School,Yes
1124,11124,High School,Yes
